Title,Authors,Vienna Researchers,Journal,DOI,Domain,Field,OA Status,Cited By,Date,Abstract
Conditionals and Modalities in Constructive Quantum Logics,"Aguilera, Massas",Juan P. Aguilera (TU Wien),Electronic Proceedings in Theoretical Computer Science,https://doi.org/10.4204/eptcs.447.2,Physical Sciences,Computer Science,diamond,0,2026-06-28,
A Barcoding Strategy for Pooled Single-Cell LA-ICP-TOFMS Analysis of Metal-Containing Therapeutics,"Molitor, Hendriks, Häfner et al.",Claude Molitor (Universität Wien); Lyndsey Hendriks (Universität Wien); Antonia Häfner (MedUni Wien); Bernhard Keppler (Universität Wien) …,Analytical Chemistry,https://doi.org/10.1021/acs.analchem.6c01916,Physical Sciences,Engineering,hybrid,0,2026-06-28,
Towards intelligent simulation platforms for scalable validation of digital energy systems,"Vettoretti, Korner, Andrén et al.",Denis Vettoretti (AIT); Clemens Korner (AIT); Filip Pröstl Andrén (AIT); Barbara Herndler (AIT) …,Electric Power Systems Research,https://doi.org/10.1016/j.epsr.2026.113531,Physical Sciences,Engineering,hybrid,0,2026-06-28,"Power systems are undergoing rapid digitalization, with distributed software applications emerging to optimize and manage grid operation. These include virtual power plants, coordinated electric vehicle charging, and distributed flexibility services. Their main challenge lies in their large scale and complex interactions across software, communication networks, and physical grid models. Validating such systems requires simulation environments capable of handling thousands of interacting components in a reproducible and automated manner. To address this need, this paper presents a modular Kubernetes-based framework for automated real-time emulation of large-scale cyber-physical energy systems. A unified system description is used to automatically generate grid models, communication interfaces, and application deployments. This enables scalable and reproducible experiments using container orchestration technologies. The framework is demonstrated on benchmark distribution networks, scaling seamlessly from a 13-bus low-voltage system to a 134-bus medium-voltage system."
Vaping with nicotine causes an acute increase in endothelial-dependent vasodilation,"Kabéle, Brynedal, Antoniewicz et al.",Lukasz Antoniewicz (MedUni Wien),Research Square,https://doi.org/10.21203/rs.3.rs-10002616/v1,Health Sciences,Medicine,green,0,2026-06-28,
Mortality and Renal Impairment in Critically Ill Patients across world regions over 2007 to 2024: a nutritionDay descriptive multivariable analysis,"Fischer-Hammerschmied, Bauer, Trumshi et al.",Arabella Fischer-Hammerschmied (MedUni Wien); P Bauer (MedUni Wien); Fiona Trumshi (MedUni Wien); Silvia Tarantino (MedUni Wien) …,Research Square,https://doi.org/10.21203/rs.3.rs-9998572/v1,Health Sciences,Nursing,green,0,2026-06-28,
DKG-CMR: Reference Implementation for a Cognitive-Aware Cross-Modal Recommendation Framework with Dynamic Knowledge Graphs,"Çifçi, İçen",Mehmet Akif Çifçi (TU Wien),Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.21012570,Other,Other,green,0,2026-06-28,"Mehmet Akif ÇifçiBandırma Onyedi Eylül University, Faculty of Engineering and Natural Sciences, Department of Computer Engineering, Bandırma, Balıkesir, Turkey Mustafa İçenYildiz Technical University, College of Education, Istanbul, TurkeyORCID: 0000-0002-3289-6097"
Animal empathy reconsidered: a multidimensional profile account,"Newen, Griem, Huber et al.",Thomas Bugnyar (Universität Wien),Biological reviews/Biological reviews of the Cambridge Philosophical Society,https://doi.org/10.1002/brv.70196,Social Sciences,Psychology,hybrid,0,2026-06-28,"ABSTRACT Empathy is the glue that holds societies together and yet several fundamental questions about empathy persist. What is empathy (the definitional question)? Is it uniquely human and, if not, which nonhuman animals possess empathy (the distribution question)? Which type or quality of empathy is realized in different species (the quality question)? To tackle these three questions, we developed a species‐sensitive, multidimensional profile account of empathy. The main function of this account is to enable cross‐species comparisons and to capture the rich variety of typical empathetic phenomena. Therefore, we aim to characterize behaviour‐based cognitive profiles of empathy which are built on multifactorial characterizations of the dimensions of empathy and of the features realizing these dimensions. The distribution question can be answered by assessing family resemblances of profiles of empathy to paradigmatic cases of empathy. Answers to the quality question can be provided with reference to the relevant empathy profile, which allows us to describe and predict associated behaviours. To gain an initial understanding of the feasibility of this framework for interspecies comparisons, we applied it to four groups of animals: rodents, apes, canids and corvids. Comparing these groups, we demonstrate that each species has a specific empathy profile which has a predictive power: in complex situations requiring empathy, distinct profiles will result in more distinct behavioural responses whereas similar profiles will result in more similar responses, even among phylogenetically distinct groups. This new multidimensional profile account enables fine‐grained comparisons within and between species instead of the prevailing all or nothing perspectives of empathy. Furthermore, it offers the integration of phylogenetic and ontogenetic perspectives thereby providing a crucial tool to explicate the notion of empathy to humans and other animals in a species‐sensitive way. We demonstrate this framework by applying it specifically to empathy, and the framework's advantages invite it to be generalized to all rich and flexible cognitive abilities in nonhuman animals."
EU-CIEMBLY Deliverable 4.1 - Report on the Practical Management of the Pilot Assemblies,"O’Connor, Karatzia, Warren et al.",Alice Leal (Universität Wien),Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.21007950,Social Sciences,Social Sciences,green,0,2026-06-28,"Deliverable 4.1 explains how the EU-CIEMBLY translates theory into practice through concrete design choices for three citizens’ assembly pilots at local, national, and transnational level. The deliverable documents the micro design phase of the project, meaning the detailed preparation phase for the three pilots. It builds on Deliverable 3.4, which reported the project’s macro design / strategic phase, and complements Deliverable 4.2, which focuses specifically on facilitators’ training. Together, these three deliverables trace the project’s progression from conceptual design to practical implementation. The present report explains how the project team has sought to embed intersectionality in citizens’ assembly design through specific pilot interventions. As explained in Deliverable 3.4, each of the three pilots focuses on one main targeted intervention, while all three are shaped by a cross-cutting intervention on facilitation. Specifically, the local pilot in Colchester, UK, adopts a community co-design approach seeking to involve affected communities in shaping the assembly. The national pilot in Cyprus explores whether intersectionality considerations can be operationalised through recruitment and/or content choices that reflect and surface PMIMG experiences. The transnational pilot examines an enclave-style approach inspired by the “deeply affected” principle, seeking to create a deliberative space for those impacted by housing insecurity in Europe. Across all three pilots, facilitation is treated as an important site for operationalising intersectionality. As such, we have developed an intersectionality-informed facilitation approach built around three activators: valuing diverse communication modes, understanding how power operates in deliberative settings, and practising reflexivity. This deliverable explains the project team’s specific decisions, actions, and activities for testing our intersectionality-oriented planned interventions. The three pilot assemblies are staggered to allow us to draw lessons for subsequent assembly pilots. This means that there is inevitably less certainty about the design of the second two assemblies (the national and the transnational) than about the design of the first (the local). As such, the present report provides a detailed description of the practical management for the first project pilot assembly, which took place in Colchester, UK, between February and March 2026. Where the design choices for the subsequent assemblies diverge from those of the local assembly, the report notes and explains the rationale behind this deviation in the planning. In this way, the deliverable fulfils two objectives: it explains the design choices for the local pilot assembly and provides an overview of the practical design of all the pilots."
"Investor-state dispute settlement in the extractives: The contentious politics of exit over redistribution, anti-racism, and climate policy","Bolay, Knierzinger, Pastré",Johannes Knierzinger (Universität Wien),The Extractive Industries and Society,https://doi.org/10.1016/j.exis.2026.101985,Social Sciences,"Business, Management and Accounting",hybrid,0,2026-06-27,"Investor–state dispute settlement (ISDS) has become a key site where extractive capitalism collides with sovereignty claims by eroding democratic decision making, draining public budgets, and constraining climate policies. Yet, despite mounting calls for reform or abolition, withdrawals from the investment treaty regime remain rare. This article investigates the promises and processes of exit through three case studies where governments faced disputes with extractive investors over redistribution (Tanzania), anti-racism (South Africa) and climate policy (Slovenia), which catalyzed reappraisals of foreign investment protection. Drawing on interviews and fieldwork within the epistemic communities of investment arbitration (lawyers and arbitrators, government agents, activists) in the three countries, the article conceptualizes ISDS withdrawal as contentious politics that operates at the intersection of national projects, transnational legal orders, and the ambiguous mobilizations of civil society groups. “Civil society” preserved or even enforced the apolitical framing of ISDS while seeking to prevent exposure to it. Successful opt-out campaigns thus have to combine international solidarization and coordination with careful considerations concerning the generated level of contentiousness on the national scale."
Closing the Carbon Loop: Continuous‐Flow Synthesis of <i>N</i> ‐Aroyl Sulfoximines via Electrochemical CO <sub>2</sub> Reduction,"Moroni, Weiß, Russo et al.",Giada Moroni (TU Wien); Maximilian Weiß (TU Wien); Giulia Russo (TU Wien); Gloria Biscontini (TU Wien) …,ChemSusChem,https://doi.org/10.1002/cssc.70810,Physical Sciences,Chemistry,hybrid,0,2026-06-27,"Sulfoximines have emerged as versatile scaffolds in modern synthesis, medicinal chemistry, and catalysis due to their tunable electronic and steric properties. In particular, N ‐aroyl sulfoximines are valuable intermediates in amide coupling, CH functionalization, and heterocycle formation. However, conventional synthetic approaches often rely on stoichiometric activating reagents and harsh conditions, generating waste and limiting substrate scope. Herein, we report a sustainable continuous‐flow platform for the Pd‐catalyzed carbonylative N ‐aroylation of sulfoximines employing carbon monoxide (CO) as a C1 source under mild conditions. The system integrates a solid oxide electrolysis cell (SOEC) to generate dry CO from CO 2 on‐demand, enabling a safe, modular, and atom‐economical transformation. The process displayed broad substrate tolerance, accommodating electron‐rich, electron‐poor, and heteroaromatic aryl iodides to furnish N ‐aroyl sulfoximines in 50%–99% isolated yields within 40 min at 80°C and 6 bar. A heterogeneous Pd‐based catalyst, covalently immobilized on Merrifield resin, further enabled efficient flow operation with 96% conversion, facilitating the catalyst recovery. Finally, the adoption of Cyrene, a biomass‐derived solvent, afforded quantitative yields and demonstrated the process compatibility with green solvents. This work establishes a scalable, safe, and sustainable strategy for sulfoximine N ‐aroylation, integrating CO 2 valorization, continuous‐flow technology, and heterogeneous catalysis for modern carbonylation chemistry."
